customer_id,node_id,node_type,name,latitude,longitude,anchor_backbone_node,generation_method,demand_ton,service_time_min,time_window_start,time_window_end,nearest_backbone_node,nearest_backbone_distance_km,connector_backbone_nodes,assigned_depot
C001,C001,CUSTOMER,Synthetic Customer 001,34.86509890602718,126.47470651425724,R175,maximin spatial sampling from backbone nodes with deterministic local offset,11,40,08:00,12:00,R175,0.75146,R175;R168;R176,D05
C002,C002,CUSTOMER,Synthetic Customer 002,35.940094497361464,129.3939524270045,R160,maximin spatial sampling from backbone nodes with deterministic local offset,18,55,08:00,16:00,R160,0.754174,R160;R162;R198,D03
C003,C003,CUSTOMER,Synthetic Customer 003,34.84395341619866,127.30544926273639,R170,maximin spatial sampling from backbone nodes with deterministic local offset,8,35,10:00,17:00,R170,0.752338,R170;R150;R139,D05
C004,C004,CUSTOMER,Synthetic Customer 004,38.15142779715036,128.5785586176093,R196,maximin spatial sampling from backbone nodes with deterministic local offset,15,50,08:00,16:00,R196,0.749317,R196;R195;R187,D01
C005,C005,CUSTOMER,Synthetic Customer 005,36.58452663832817,128.16227404790047,R001,maximin spatial sampling from backbone nodes with deterministic local offset,5,30,10:00,17:00,R001,0.750628,R001;R003;R004,D03
C006,C006,CUSTOMER,Synthetic Customer 006,37.487450604976864,126.49230143072418,R179,maximin spatial sampling from backbone nodes with deterministic local offset,12,45,09:00,15:00,R179,0.753871,R179;R197;R141,D01
C007,C007,CUSTOMER,Synthetic Customer 007,36.007535139329974,126.7950059690857,R083,maximin spatial sampling from backbone nodes with deterministic local offset,19,60,13:00,18:00,R083,0.753147,R083;R118;R165,D02
C008,C008,CUSTOMER,Synthetic Customer 008,35.29125998686533,128.39366541546843,R131,maximin spatial sampling from backbone nodes with deterministic local offset,9,40,10:00,17:00,R131,0.749747,R131;R181;R097,D05
C009,C009,CUSTOMER,Synthetic Customer 009,37.40149629188419,127.7501224623582,R158,maximin spatial sampling from backbone nodes with deterministic local offset,16,50,08:00,16:00,R158,0.749887,R158;R190;R145,D01
C010,C010,CUSTOMER,Synthetic Customer 010,36.79116365959676,127.04768520267434,R173,maximin spatial sampling from backbone nodes with deterministic local offset,6,30,09:00,15:00,R173,0.753311,R173;R063;R029,D02
C011,C011,CUSTOMER,Synthetic Customer 011,35.849453291115225,127.64852145217739,R132,maximin spatial sampling from backbone nodes with deterministic local offset,13,45,08:00,12:00,R132,0.753759,R132;R159;R182,D05
C012,C012,CUSTOMER,Synthetic Customer 012,37.88104125585899,127.20559589608709,R194,maximin spatial sampling from backbone nodes with deterministic local offset,20,60,10:00,17:00,R194,0.750443,R194;R116;R185,D01
C013,C013,CUSTOMER,Synthetic Customer 013,35.90840661233907,128.58954580122779,R103,maximin spatial sampling from backbone nodes with deterministic local offset,10,40,08:00,12:00,R103,0.749397,R103;R026;R102,D03
C014,C014,CUSTOMER,Synthetic Customer 014,36.50713033934257,129.11825526615374,R183,maximin spatial sampling from backbone nodes with deterministic local offset,17,55,09:00,15:00,R183,0.752537,R183;R123;R154,D03
C015,C015,CUSTOMER,Synthetic Customer 015,35.32805396394626,126.80749071168157,R122,maximin spatial sampling from backbone nodes with deterministic local offset,7,35,08:00,16:00,R122,0.75413,R122;R137;R152,D05
C016,C016,CUSTOMER,Synthetic Customer 016,37.639975897312475,128.4993920963733,R169,maximin spatial sampling from backbone nodes with deterministic local offset,14,50,09:00,15:00,R169,0.751252,R169;R192;R200,D01
C017,C017,CUSTOMER,Synthetic Customer 017,37.402507105810955,127.09163052197864,R085,maximin spatial sampling from backbone nodes with deterministic local offset,4,30,10:00,17:00,R085,0.749166,R085;R125;R113,D01
C018,C018,CUSTOMER,Synthetic Customer 018,36.90980535797331,127.6974324214799,R089,maximin spatial sampling from backbone nodes with deterministic local offset,11,40,13:00,18:00,R089,0.751686,R089;R077;R023,D01
C019,C019,CUSTOMER,Synthetic Customer 019,35.25925413307043,128.98319921031865,R091,maximin spatial sampling from backbone nodes with deterministic local offset,18,55,10:00,17:00,R091,0.754202,R091;R120;R157,D04
C020,C020,CUSTOMER,Synthetic Customer 020,36.40656227733448,127.37590168550003,R124,maximin spatial sampling from backbone nodes with deterministic local offset,8,35,09:00,15:00,R124,0.752151,R124;R106;R096,D02
C021,C021,CUSTOMER,Synthetic Customer 021,36.13267567616236,128.10131096183073,R011,maximin spatial sampling from backbone nodes with deterministic local offset,15,50,13:00,18:00,R011,0.749245,R011;R038;R007,D03
C022,C022,CUSTOMER,Synthetic Customer 022,35.43596030394814,127.3966937636112,R119,maximin spatial sampling from backbone nodes with deterministic local offset,5,30,09:00,15:00,R119,0.750801,R119;R126;R189,D05
C023,C023,CUSTOMER,Synthetic Customer 023,37.904164796006626,128.04771881166903,R186,maximin spatial sampling from backbone nodes with deterministic local offset,12,45,13:00,18:00,R186,0.753971,R186;R187;R178,D01
C024,C024,CUSTOMER,Synthetic Customer 024,35.00532317834238,127.81461507505902,R153,maximin spatial sampling from backbone nodes with deterministic local offset,19,60,13:00,18:00,R153,0.752962,R153;R151;R139,D05
C025,C025,CUSTOMER,Synthetic Customer 025,37.075528511577055,128.17417778433065,R114,maximin spatial sampling from backbone nodes with deterministic local offset,9,40,08:00,12:00,R114,0.749634,R114;R167;R117,D01
C026,C026,CUSTOMER,Synthetic Customer 026,36.42477480789192,128.6246352841024,R148,maximin spatial sampling from backbone nodes with deterministic local offset,16,50,13:00,18:00,R148,0.750059,R148;R172;R071,D03
C027,C027,CUSTOMER,Synthetic Customer 027,36.81793077363376,126.56685029668455,R147,maximin spatial sampling from backbone nodes with deterministic local offset,6,30,13:00,18:00,R147,0.753457,R147;R188;R128,D02
C028,C028,CUSTOMER,Synthetic Customer 028,35.691248733574405,128.18821393010631,R138,maximin spatial sampling from backbone nodes with deterministic local offset,13,45,08:00,12:00,R138,0.753639,R138;R133;R094,D03
C029,C029,CUSTOMER,Synthetic Customer 029,36.85093037519596,128.53301978785362,R140,maximin spatial sampling from backbone nodes with deterministic local offset,20,60,09:00,15:00,R140,0.750246,R140;R166;R174,D03
C030,C030,CUSTOMER,Synthetic Customer 030,37.854088474004946,126.75887512711745,R177,maximin spatial sampling from backbone nodes with deterministic local offset,10,40,08:00,12:00,R177,0.749481,R177;R199;R116,D01
C031,C031,CUSTOMER,Synthetic Customer 031,35.478975584115,127.82543130593605,R130,maximin spatial sampling from backbone nodes with deterministic local offset,17,55,08:00,12:00,R130,0.752743,R130;R112;R127,D05
C032,C032,CUSTOMER,Synthetic Customer 032,35.484932668470904,129.29126335969636,R156,maximin spatial sampling from backbone nodes with deterministic local offset,7,35,08:00,12:00,R156,0.754068,R156;R184;R091,D04
C033,C033,CUSTOMER,Synthetic Customer 033,36.05158136640794,128.9991206806346,R180,maximin spatial sampling from backbone nodes with deterministic local offset,14,50,08:00,12:00,R180,0.751068,R180;R198;R067,D03
C034,C034,CUSTOMER,Synthetic Customer 034,37.18702651889031,127.448329565404,R161,maximin spatial sampling from backbone nodes with deterministic local offset,4,30,08:00,16:00,R161,0.749195,R161;R006;R078,D01
C035,C035,CUSTOMER,Synthetic Customer 035,36.22597759972437,127.04758292791585,R108,maximin spatial sampling from backbone nodes with deterministic local offset,11,40,09:00,15:00,R108,0.751877,R108;R049;R072,D02
C036,C036,CUSTOMER,Synthetic Customer 036,37.75876492305966,128.8370749075667,R192,maximin spatial sampling from backbone nodes with deterministic local offset,18,55,09:00,15:00,R192,0.754213,R192;R169;R195,D01
C037,C037,CUSTOMER,Synthetic Customer 037,36.71767480131752,127.4462641799273,R087,maximin spatial sampling from backbone nodes with deterministic local offset,8,35,13:00,18:00,R087,0.751927,R087;R090;R075,D02
C038,C038,CUSTOMER,Synthetic Customer 038,35.14776681606828,127.44941964446919,R142,maximin spatial sampling from backbone nodes with deterministic local offset,15,50,10:00,17:00,R142,0.749204,R142;R139;R150,D05
C039,C039,CUSTOMER,Synthetic Customer 039,35.65127396250952,128.75185048605658,R144,maximin spatial sampling from backbone nodes with deterministic local offset,5,30,10:00,17:00,R144,0.751019,R144;R149;R081,D04
C040,C040,CUSTOMER,Synthetic Customer 040,35.73407802292975,126.76991811177632,R134,maximin spatial sampling from backbone nodes with deterministic local offset,12,45,08:00,16:00,R134,0.75405,R134;R171;R110,D05
C041,C041,CUSTOMER,Synthetic Customer 041,36.10230618330572,127.5129072203772,R129,maximin spatial sampling from backbone nodes with deterministic local offset,19,60,10:00,17:00,R129,0.752789,R129;R159;R155,D02
C042,C042,CUSTOMER,Synthetic Customer 042,37.19222860283356,126.87859636074948,R115,maximin spatial sampling from backbone nodes with deterministic local offset,9,40,13:00,18:00,R115,0.749506,R115;R128;R197,D02
C043,C043,CUSTOMER,Synthetic Customer 043,37.67339044221278,127.84649299811873,R146,maximin spatial sampling from backbone nodes with deterministic local offset,16,50,13:00,18:00,R146,0.750204,R146;R178;R190,D01
