vehicle_id,depot_id,vehicle_no_at_depot,capacity_ton,start_time,end_time,fixed_cost,variable_cost_per_km,max_route_duration_min
V001,D01,1,30,06:00,22:00,120000,1450,720
V002,D01,2,30,06:00,22:00,120000,1450,720
V003,D01,3,30,06:00,22:00,120000,1450,720
V004,D01,4,30,06:00,22:00,120000,1450,720
V005,D01,5,30,06:00,22:00,120000,1450,720
V006,D01,6,30,06:00,22:00,120000,1450,720
V007,D01,7,30,06:00,22:00,120000,1450,720
V008,D01,8,30,06:00,22:00,120000,1450,720
V009,D02,1,30,06:00,22:00,120000,1450,720
V010,D02,2,30,06:00,22:00,120000,1450,720
V011,D02,3,30,06:00,22:00,120000,1450,720
V012,D02,4,30,06:00,22:00,120000,1450,720
V013,D02,5,30,06:00,22:00,120000,1450,720
V014,D03,1,30,06:00,22:00,120000,1450,720
V015,D03,2,30,06:00,22:00,120000,1450,720
V016,D03,3,30,06:00,22:00,120000,1450,720
V017,D03,4,30,06:00,22:00,120000,1450,720
V018,D03,5,30,06:00,22:00,120000,1450,720
V019,D03,6,30,06:00,22:00,120000,1450,720
V020,D03,7,30,06:00,22:00,120000,1450,720
V021,D04,1,30,06:00,22:00,120000,1450,720
V022,D04,2,30,06:00,22:00,120000,1450,720
V023,D05,1,30,06:00,22:00,120000,1450,720
V024,D05,2,30,06:00,22:00,120000,1450,720
V025,D05,3,30,06:00,22:00,120000,1450,720
V026,D05,4,30,06:00,22:00,120000,1450,720
V027,D05,5,30,06:00,22:00,120000,1450,720
V028,D05,6,30,06:00,22:00,120000,1450,720
