edge_id,hour,travel_time_min,speed_kph,data_source
PE00001,6,4.95776,81.818182,prototype
PE00001,7,6.084524,66.666667,prototype
PE00001,8,6.985935,58.064516,prototype
PE00001,9,5.859171,69.230769,prototype
PE00001,10,4.95776,81.818182,prototype
PE00001,11,4.732407,85.714286,prototype
PE00001,12,4.95776,81.818182,prototype
PE00001,13,4.732407,85.714286,prototype
PE00001,14,4.732407,85.714286,prototype
PE00001,15,4.867619,83.333333,prototype
PE00001,16,5.318325,76.271186,prototype
PE00001,17,6.535229,62.068966,prototype
PE00001,18,7.211287,56.25,prototype
PE00001,19,5.859171,69.230769,prototype
PE00001,20,5.047901,80.357143,prototype
PE00001,21,4.507055,90.0,prototype
PE00001,22,4.281702,94.736842,prototype
PE00002,6,4.95776,81.818182,prototype
PE00002,7,6.084524,66.666667,prototype
PE00002,8,6.985935,58.064516,prototype
PE00002,9,5.859171,69.230769,prototype
PE00002,10,4.95776,81.818182,prototype
PE00002,11,4.732407,85.714286,prototype
PE00002,12,4.95776,81.818182,prototype
PE00002,13,4.732407,85.714286,prototype
PE00002,14,4.732407,85.714286,prototype
PE00002,15,4.867619,83.333333,prototype
PE00002,16,5.318325,76.271186,prototype
PE00002,17,6.535229,62.068966,prototype
PE00002,18,7.211287,56.25,prototype
PE00002,19,5.859171,69.230769,prototype
PE00002,20,5.047901,80.357143,prototype
PE00002,21,4.507055,90.0,prototype
PE00002,22,4.281702,94.736842,prototype
PE00003,6,28.696562,81.818182,prototype
PE00003,7,35.218508,66.666667,prototype
PE00003,8,40.436064,58.064516,prototype
PE00003,9,33.914118,69.230769,prototype
PE00003,10,28.696562,81.818182,prototype
PE00003,11,27.392173,85.714286,prototype
PE00003,12,28.696562,81.818182,prototype
PE00003,13,27.392173,85.714286,prototype
PE00003,14,27.392173,85.714286,prototype
PE00003,15,28.174806,83.333333,prototype
PE00003,16,30.783584,76.271186,prototype
PE00003,17,37.827286,62.068966,prototype
PE00003,18,41.740453,56.25,prototype
PE00003,19,33.914118,69.230769,prototype
PE00003,20,29.218317,80.357143,prototype
PE00003,21,26.087783,90.0,prototype
PE00003,22,24.783394,94.736842,prototype
PE00004,6,28.696562,81.818182,prototype
PE00004,7,35.218508,66.666667,prototype
PE00004,8,40.436064,58.064516,prototype
PE00004,9,33.914118,69.230769,prototype
PE00004,10,28.696562,81.818182,prototype
PE00004,11,27.392173,85.714286,prototype
PE00004,12,28.696562,81.818182,prototype
PE00004,13,27.392173,85.714286,prototype
PE00004,14,27.392173,85.714286,prototype
PE00004,15,28.174806,83.333333,prototype
PE00004,16,30.783584,76.271186,prototype
PE00004,17,37.827286,62.068966,prototype
PE00004,18,41.740453,56.25,prototype
PE00004,19,33.914118,69.230769,prototype
PE00004,20,29.218317,80.357143,prototype
PE00004,21,26.087783,90.0,prototype
PE00004,22,24.783394,94.736842,prototype
PE00005,6,17.631827,81.818182,prototype
PE00005,7,21.63906,66.666667,prototype
PE00005,8,24.844847,58.064516,prototype
PE00005,9,20.837613,69.230769,prototype
PE00005,10,17.631827,81.818182,prototype
PE00005,11,16.83038,85.714286,prototype
PE00005,12,17.631827,81.818182,prototype
PE00005,13,16.83038,85.714286,prototype
PE00005,14,16.83038,85.714286,prototype
PE00005,15,17.311248,83.333333,prototype
PE00005,16,18.914141,76.271186,prototype
PE00005,17,23.241953,62.068966,prototype
PE00005,18,25.646293,56.25,prototype
PE00005,19,20.837613,69.230769,prototype
PE00005,20,17.952405,80.357143,prototype
PE00005,21,16.028933,90.0,prototype
PE00005,22,15.227487,94.736842,prototype
PE00006,6,17.631827,81.818182,prototype
PE00006,7,21.63906,66.666667,prototype
PE00006,8,24.844847,58.064516,prototype
PE00006,9,20.837613,69.230769,prototype
PE00006,10,17.631827,81.818182,prototype
PE00006,11,16.83038,85.714286,prototype
PE00006,12,17.631827,81.818182,prototype
PE00006,13,16.83038,85.714286,prototype
PE00006,14,16.83038,85.714286,prototype
PE00006,15,17.311248,83.333333,prototype
PE00006,16,18.914141,76.271186,prototype
PE00006,17,23.241953,62.068966,prototype
PE00006,18,25.646293,56.25,prototype
PE00006,19,20.837613,69.230769,prototype
PE00006,20,17.952405,80.357143,prototype
PE00006,21,16.028933,90.0,prototype
PE00006,22,15.227487,94.736842,prototype
PE00007,6,37.436512,81.818182,prototype
PE00007,7,45.94481,66.666667,prototype
PE00007,8,52.751449,58.064516,prototype
PE00007,9,44.24315,69.230769,prototype
PE00007,10,37.436512,81.818182,prototype
