node_id,node_type,name,latitude,longitude,x,y,original_node_id,role,nearest_backbone_node,nearest_backbone_distance_km,connector_backbone_nodes,demand,tw_start,tw_end,service_time,assigned_depot
R001,ROAD,점촌함창IC,36.587438954130185,128.156610184886,303507.4045528976,443852.2576925198,3580024101,anchor|named_interchange_or_intersection|branch|node_type_106,R001,0.0,R001,,,,,
R002,ROAD,문경새재IC,36.69793174069319,128.1112276911841,299303.92679780396,456066.50086126686,3590012506,anchor|named_interchange_or_intersection|branch|node_type_106,R002,0.0,R002,,,,,
R003,ROAD,점촌함창IC,36.58382519540017,128.1523027602236,303126.7170322139,443446.5852055046,3580023601,anchor|named_interchange_or_intersection|branch|node_type_106,R003,0.0,R003,,,,,
R004,ROAD,북상주IC,36.5325799823054,128.16749908794347,304555.8188714046,437776.00159090554,3580019201,anchor|named_interchange_or_intersection|branch|node_type_106,R004,0.0,R004,,,,,
R005,ROAD,남이JC,36.59310877432778,127.42427901727456,237966.1651999997,443942.4752999991,2830014702,anchor|named_interchange_or_intersection|branch|node_type_106,R005,0.0,R005,,,,,
R006,ROAD,일죽IC삼거리,37.086408549290134,127.45085389140704,240085.91500580593,498697.5494148731,2310021215,anchor|named_interchange_or_intersection|branch|node_type_106,R006,0.0,R006,,,,,
R007,ROAD,김천IC앞,36.12773218717024,128.09485152608235,298558.2609989768,392773.07044647227,3530110805,anchor|named_interchange_or_intersection|branch|node_type_106,R007,0.0,R007,,,,,
R008,ROAD,낙동Jct,36.372860391594216,128.23947499157688,311229.7959664518,420131.7135668276,3580025401,anchor|named_interchange_or_intersection|branch|node_type_106,R008,0.0,R008,,,,,
R009,ROAD,익산IC(남측),35.98815962014531,127.1137933871101,210261.5670216906,376736.843722188,3120019102,anchor|named_interchange_or_intersection|branch|node_type_106,R009,0.0,R009,,,,,
R010,ROAD,추풍령IC(남측),36.19700620201234,128.00201032461408,290121.10965129983,400370.0354566022,3530109702,anchor|named_interchange_or_intersection|branch|node_type_106,R010,0.0,R010,,,,,
R011,ROAD,김천IC(남측),36.13195163961604,128.09469721056038,298539.0937338465,393241.1365967532,3530014202,anchor|named_interchange_or_intersection|branch|node_type_106,R011,0.0,R011,,,,,
R012,ROAD,청주JC,36.570233958285506,127.42885630180209,238387.0845999997,441405.8582000006,2830018302,anchor|named_interchange_or_intersection|branch|node_type_106,R012,0.0,R012,,,,,
R013,ROAD,적석교차로,36.75847833266614,127.98464273279068,287922.36481666693,462662.13668395666,2800135802,anchor|named_interchange_or_intersection|branch|node_type_106,R013,0.0,R013,,,,,
R014,ROAD,검승교차로,36.801985282403976,127.82986453530074,274059.4741049671,467359.4208217225,2800132602,anchor|named_interchange_or_intersection|branch|node_type_106,R014,0.0,R014,,,,,
R015,ROAD,쌍곡2교차로,36.780526873189345,127.90269321445172,280581.53190902463,465036.88996646635,2800133702,anchor|named_interchange_or_intersection|branch|node_type_106,R015,0.0,R015,,,,,
R016,ROAD,안성JC(북측),37.044565565169194,127.13711671594014,212197.86458379336,493967.54856991465,2310014002,anchor|named_interchange_or_intersection|branch|node_type_106,R016,0.0,R016,,,,,
R017,ROAD,동군위IC,36.095711193171624,128.66305825397893,349772.5582827997,389945.5314241112,3610089902,anchor|named_interchange_or_intersection|branch|node_type_106,R017,0.0,R017,,,,,
R018,ROAD,낙동JC,36.367406915229424,128.24643740028336,311862.4365199174,419534.5607406352,3580091902,anchor|named_interchange_or_intersection|branch|node_type_106,R018,0.0,R018,,,,,
R019,ROAD,상주IC,36.42003963998809,128.21430362043102,308904.97719635145,425338.6836615097,3580012301,anchor|named_interchange_or_intersection|branch|node_type_106,R019,0.0,R019,,,,,
R020,ROAD,상주IC,36.4254156188043,128.2130900295645,308788.6304454128,425933.9098428317,3580013301,anchor|named_interchange_or_intersection|branch|node_type_106,R020,0.0,R020,,,,,
R021,ROAD,북상주IC,36.52854091633443,128.17185273214872,304951.1849053276,437332.5024573379,3580018901,anchor|named_interchange_or_intersection|branch|node_type_106,R021,0.0,R021,,,,,
R022,ROAD,익산JC,35.95029565949491,127.09709381272272,208759.82767226192,372533.8876654077,3080137502,anchor|named_interchange_or_intersection|branch|node_type_106,R022,0.0,R022,,,,,
R023,ROAD,음성IC교차로,36.98515029010112,127.61838443505032,255054.43269907287,487543.71186233714,2810025001,anchor|named_interchange_or_intersection|branch|node_type_106,R023,0.0,R023,,,,,
R024,ROAD,안성IC(북측),36.99681521692905,127.15334893688156,213650.4190408239,488670.50880353287,2310003202,anchor|named_interchange_or_intersection|branch|node_type_106,R024,0.0,R024,,,,,
R025,ROAD,안성JC(남측),37.02625552092633,127.14155342448896,212595.57689765512,491936.1073926271,2140014601,anchor|named_interchange_or_intersection|branch|node_type_106,R025,0.0,R025,,,,,
R026,ROAD,도동JC,35.91452991999719,128.65628608036667,349504.38819015725,369828.79187693424,1510018701,anchor|named_interchange_or_intersection|branch|node_type_106,R026,0.0,R026,,,,,
R027,ROAD,문경새재IC,36.701291709495344,128.11469744189978,299609.673438619,456442.98370796227,3590012601,anchor|named_interchange_or_intersection|branch|node_type_106,R027,0.0,R027,,,,,
R028,ROAD,신녕IC교차로,36.037132492257925,128.8122665900332,363332.4615000002,383684.8080000002,3570849602,anchor|named_interchange_or_intersection|branch|node_type_106,R028,0.0,R028,,,,,
R029,ROAD,천안IC,36.82468230491583,127.16747674491668,214941.54704240547,469569.9876671784,3010090302,anchor|named_interchange_or_intersection|branch|node_type_106,R029,0.0,R029,,,,,
R030,ROAD,신녕IC교차로,36.037146103651686,128.8123989274965,363344.3616699905,383686.5405979268,3570849601,anchor|named_interchange_or_intersection|branch|node_type_106,R030,0.0,R030,,,,,
R031,ROAD,신녕IC,36.041004458866375,128.81041895096783,363157.9330000002,384111.4085000008,3570849402,anchor|named_interchange_or_intersection|branch|node_type_106,R031,0.0,R031,,,,,
R032,ROAD,고령JC,35.76045571960374,128.371503748106,324036.5136059894,352333.25136414816,3670008501,anchor|named_interchange_or_intersection|branch|node_type_106,R032,0.0,R032,,,,,
R033,ROAD,영동IC(남측),36.26743629402015,127.8356666129268,275092.37119999994,408043.7371999994,2770102901,anchor|named_interchange_or_intersection|branch|node_type_106,R033,0.0,R033,,,,,
R034,ROAD,황간IC,36.22183977626684,127.90571718425969,281434.5081000002,403040.5862000007,2770105201,anchor|named_interchange_or_intersection|branch|node_type_106,R034,0.0,R034,,,,,
R035,ROAD,황간IC(동측),36.22241443448485,127.91206808205136,282004.9424112965,403109.707718928,2770105301,anchor|named_interchange_or_intersection|branch|node_type_106,R035,0.0,R035,,,,,
R036,ROAD,추풍령IC(북측),36.20406739852911,128.00113392216826,290034.1961999996,401152.7876999986,3530109401,anchor|named_interchange_or_intersection|branch|node_type_106,R036,0.0,R036,,,,,
R037,ROAD,김천IC(서측),36.13390610667996,128.09194786524031,298289.1648000004,393455.2342000008,3530110501,anchor|named_interchange_or_intersection|branch|node_type_106,R037,0.0,R037,,,,,
R038,ROAD,김천IC앞,36.12777156428802,128.09497695771245,298569.5035050715,392777.56726981193,3530110802,anchor|named_interchange_or_intersection|branch|node_type_106,R038,0.0,R038,,,,,
R039,ROAD,현풍JC,35.66807515794538,128.43569674515243,329992.3765171835,342165.3864129403,1570012601,anchor|named_interchange_or_intersection|branch|node_type_106,R039,0.0,R039,,,,,
R040,ROAD,죽산교차로,37.08088076253459,127.43492860234085,238672.7804629561,498077.4748953468,2310020305,anchor|named_interchange_or_intersection|branch|node_type_106,R040,0.0,R040,,,,,
R041,ROAD,연풍IC교차로,36.757268958169774,127.99891954383452,289198.6308741616,462541.1304026142,2800135901,anchor|named_interchange_or_intersection|branch|node_type_106,R041,0.0,R041,,,,,
R042,ROAD,적석교차로,36.758854739149655,127.97719819973524,287257.17019058287,462697.0978597113,2800135601,anchor|named_interchange_or_intersection|branch|node_type_106,R042,0.0,R042,,,,,
R043,ROAD,동진교차로,36.80936725558232,127.8122716647325,272482.4474396204,468165.17204091046,2800132202,anchor|named_interchange_or_intersection|branch|node_type_106,R043,0.0,R043,,,,,
R044,ROAD,검승교차로,36.8035336902271,127.82546871001632,273665.68718462565,467527.8637574119,2800132307,anchor|named_interchange_or_intersection|branch|node_type_106,R044,0.0,R044,,,,,
R045,ROAD,칠성교차로,36.79060653128961,127.85404600586614,276228.8175545663,466115.63608056394,2800133002,anchor|named_interchange_or_intersection|branch|node_type_106,R045,0.0,R045,,,,,
R046,ROAD,동진교차로,36.80938374915422,127.8121456688546,272471.18853200995,468166.9069508184,2800132203,anchor|named_interchange_or_intersection|branch|node_type_106,R046,0.0,R046,,,,,
R047,ROAD,칠성교차로,36.79244212733117,127.8481301918743,275698.9779159677,466314.64760753734,2800132702,anchor|named_interchange_or_intersection|branch|node_type_106,R047,0.0,R047,,,,,
R048,ROAD,쌍곡1교차로,36.78177620710401,127.88209696018058,278741.6272706515,465158.38981107855,2800133307,anchor|named_interchange_or_intersection|branch|node_type_106,R048,0.0,R048,,,,,
R049,ROAD,논산JC,36.07600835431453,127.10180372261796,209170.1843359657,386483.3131880316,3080140302,anchor|named_interchange_or_intersection|branch|node_type_106,R049,0.0,R049,,,,,
R050,ROAD,익산IC(북측),35.994484221169145,127.11331312823566,210217.44300366865,377438.5641060144,3120019302,anchor|named_interchange_or_intersection|branch|node_type_106,R050,0.0,R050,,,,,
R051,ROAD,신녕IC,36.04368929724763,128.8078888691198,362924.3607916311,384405.1256928821,3570849202,anchor|named_interchange_or_intersection|branch|node_type_106,R051,0.0,R051,,,,,
R052,ROAD,상주JC,36.37524463790464,128.26923678586823,313897.2554352656,420430.98592862627,3580108301,anchor|named_interchange_or_intersection|branch|node_type_106,R052,0.0,R052,,,,,
R053,ROAD,성서IC,35.853319915517204,128.52223962084247,337509.5736049871,362839.432770216,1560004001,anchor|named_interchange_or_intersection|branch|node_type_106,R053,0.0,R053,,,,,
R054,ROAD,천안IC,36.83117832373901,127.17253483995457,215391.50744586883,470291.683054915,3010092701,anchor|named_interchange_or_intersection|branch|node_type_106,R054,0.0,R054,,,,,
R055,ROAD,북천안IC,36.895280943952415,127.18927470295873,216870.74251317471,477408.31396960886,3020169301,anchor|named_interchange_or_intersection|branch|node_type_106,R055,0.0,R055,,,,,
R056,ROAD,북천안IC,36.900070890564024,127.18924093533236,216866.6785704748,477939.87661837734,3020169201,anchor|named_interchange_or_intersection|branch|node_type_106,R056,0.0,R056,,,,,
R057,ROAD,안성IC(남측),36.99165762951289,127.155325409994,213827.28943325175,488098.4170750493,2310002701,anchor|named_interchange_or_intersection|branch|node_type_106,R057,0.0,R057,,,,,
R058,ROAD,공주분기점,36.48115389964531,127.08942967778486,208014.0454132532,431438.8754537599,2860033802,anchor|named_interchange_or_intersection|branch|node_type_106,R058,0.0,R058,,,,,
R059,ROAD,공주IC,36.50309975944489,127.10406750226372,209323.15192935773,433875.4850174976,2860036101,anchor|named_interchange_or_intersection|branch|node_type_106,R059,0.0,R059,,,,,
R060,ROAD,남대구IC,35.83797038788472,128.52784005726662,338042.12447116774,361144.00601286336,1560001601,anchor|named_interchange_or_intersection|branch|node_type_106,R060,0.0,R060,,,,,
R061,ROAD,성서IC,35.845166500387904,128.52490596997052,337764.55888903834,361938.41178887145,1560001704,anchor|named_interchange_or_intersection|branch|node_type_106,R061,0.0,R061,,,,,
R062,ROAD,유천IC(남측),35.811905393436476,128.50258609121877,335804.639719393,358216.28847299283,1570186101,anchor|named_interchange_or_intersection|branch|node_type_106,R062,0.0,R062,,,,,
R063,ROAD,남풍세IC,36.721445942406376,127.13777413474156,212308.09951453423,458109.2577226642,3010051801,anchor|named_interchange_or_intersection|branch|node_type_106,R063,0.0,R063,,,,,
R064,ROAD,정안IC,36.62790401893978,127.12047259950452,210775.49657666063,447726.6755803272,2860027301,anchor|named_interchange_or_intersection|branch|node_type_106,R064,0.0,R064,,,,,
R065,ROAD,도개IC,36.31590743018555,128.32042943508785,318581.31299982744,413907.6675083304,3550145701,anchor|named_interchange_or_intersection|branch|node_type_106,R065,0.0,R065,,,,,
R066,ROAD,진천IC,36.86651440683902,127.47553770998928,242402.42274271636,474304.7774691573,2790006802,anchor|named_interchange_or_intersection|branch|node_type_106,R066,0.0,R066,,,,,
R067,ROAD,신녕IC교차로,36.03722256851519,128.8155938056297,363632.17507103464,383700.39200833184,3570849902,anchor|named_interchange_or_intersection|branch|node_type_106,R067,0.0,R067,,,,,
R068,ROAD,익산JC,35.939474223747574,127.08415106332905,207593.16455336375,371332.0783295891,3080137402,anchor|named_interchange_or_intersection|branch|node_type_106,R068,0.0,R068,,,,,
R069,ROAD,삼례IC(남측),35.92333707395921,127.0776690782043,207009.7027620178,369541.0515371968,3080002102,anchor|named_interchange_or_intersection|branch|node_type_106,R069,0.0,R069,,,,,
R070,ROAD,공주분기점,36.48110517556175,127.08957278790484,208026.87494305213,431433.4805512461,2860033801,anchor|named_interchange_or_intersection|branch|node_type_106,R070,0.0,R070,,,,,
R071,ROAD,서군위하이패스IC,36.24747862368556,128.4779727167241,332846.3441169831,406518.43058699014,3610090301,anchor|named_interchange_or_intersection|branch|node_type_106,R071,0.0,R071,,,,,
R072,ROAD,남공주IC,36.42916959662197,127.07978491665963,207154.52404941444,425669.5488892941,2860011301,anchor|named_interchange_or_intersection|branch|node_type_106,R072,0.0,R072,,,,,
R073,ROAD,동군위IC,36.0993479820504,128.65900089660275,349400.24023899814,390342.8815788615,3610089501,anchor|named_interchange_or_intersection|branch|node_type_106,R073,0.0,R073,,,,,
R074,ROAD,천안IC,36.824536638007295,127.16785233970874,214975.08438863177,469553.881128362,3010090301,anchor|named_interchange_or_intersection|branch|node_type_106,R074,0.0,R074,,,,,
R075,ROAD,남이JC,36.59318974308798,127.42441195522235,237978.02139999997,443951.51300000027,2830014701,anchor|named_interchange_or_intersection|branch|node_type_106,R075,0.0,R075,,,,,
R076,ROAD,청주JC,36.570282003099216,127.42900343015955,238400.23039999977,441411.2485000007,2830018301,anchor|named_interchange_or_intersection|branch|node_type_106,R076,0.0,R076,,,,,
R077,ROAD,음성IC교차로,36.97944820754422,127.62209645787576,255389.04914353305,486913.0520426048,2810024701,anchor|named_interchange_or_intersection|branch|node_type_106,R077,0.0,R077,,,,,
R078,ROAD,일죽IC삼거리,37.0863332160685,127.4509877002837,240097.8518516014,498689.2453808157,2310021213,anchor|named_interchange_or_intersection|branch|node_type_106,R078,0.0,R078,,,,,
R079,ROAD,일죽IC삼거리,37.086297963851386,127.4508827427588,240088.5384661103,498685.28879271867,2310021214,anchor|named_interchange_or_intersection|branch|node_type_106,R079,0.0,R079,,,,,
R080,ROAD,천안JC,36.774983964681795,127.17749092910871,215845.20416157713,464056.3737961002,3010095602,anchor|named_interchange_or_intersection|branch|node_type_101,R080,0.0,R080,,,,,
R081,ROAD,창녕IC,35.54629721838311,128.476040101969,333848.17233195156,328706.5920362724,3910015901,anchor|named_interchange_or_intersection|branch|node_type_106,R081,0.0,R081,,,,,
R082,ROAD,창녕IC(북측),35.54473785760539,128.4763137956636,333875.5853000004,328533.9331,3910146600,anchor|named_interchange_or_intersection|branch|node_type_106,R082,0.0,R082,,,,,
R083,ROAD,군산IC(북측),36.01235071106646,126.79807695384709,181796.70100000035,379433.93480000086,3070024802,anchor|named_interchange_or_intersection|branch|node_type_106,R083,0.0,R083,,,,,
R084,ROAD,익산IC(북측),35.99450424325771,127.11351881733802,210235.98740748895,377440.8073130559,3120019301,anchor|named_interchange_or_intersection|branch|node_type_106,R084,0.0,R084,,,,,
R085,ROAD,판교JC(남측),37.40228328532088,127.09840965710806,208713.24581695703,533663.4699006402,2060004901,anchor|named_interchange_or_intersection|branch|node_type_106,R085,0.0,R085,,,,,
R086,ROAD,동군위IC,36.09736435149866,128.6606822273939,349555.4247000003,390125.3331000004,3610089602,anchor|named_interchange_or_intersection|branch|node_type_106,R086,0.0,R086,,,,,
R087,ROAD,오창IC,36.713655279370926,127.44174744651173,239467.74628378492,457326.8183750924,2840034002,anchor|named_interchange_or_intersection|branch|node_type_106,R087,0.0,R087,,,,,
R088,ROAD,남천안IC,36.75088222720619,127.16430365467824,214672.5219670693,461379.6213664826,3010088002,anchor|named_interchange_or_intersection|branch|node_type_106,R088,0.0,R088,,,,,
R089,ROAD,음성１교차로,36.91363262693336,127.6926537116851,261724.3509540966,479652.26951118896,2810938004,anchor|named_interchange_or_intersection|branch|node_type_106,R089,0.0,R089,,,,,
R090,ROAD,청주IC,36.62478912134431,127.38388435605036,234337.42739911212,447442.8795706142,2710003402,anchor|named_interchange_or_intersection|branch|node_type_106,R090,0.0,R090,,,,,
R091,ROAD,대동IC,35.25383371422928,128.98350460601972,380521.69438538974,297059.9386379209,3850319702,anchor|named_interchange_or_intersection|branch|node_type_106,R091,0.0,R091,,,,,
R092,ROAD,안성JC(북측),37.0445467306126,127.13689314928646,212177.9791551202,493965.42968775786,2310014003,anchor|named_interchange_or_intersection|branch|node_type_106,R092,0.0,R092,,,,,
R093,ROAD,목천IC,36.75843654649878,127.21852144999136,219512.3315828183,462227.6271799497,3010104002,anchor|named_interchange_or_intersection|branch|node_type_106,R093,0.0,R093,,,,,
R094,ROAD,고령JC,35.75505980774519,128.37416793768057,324285.8664989119,351737.87017173175,3670008201,anchor|named_interchange_or_intersection|branch|node_type_106,R094,0.0,R094,,,,,
R095,ROAD,현풍JC,35.6798480647156,128.4324343977203,329677.9232000001,343467.4450000003,1570012901,anchor|named_interchange_or_intersection|branch|node_type_106,R095,0.0,R095,,,,,
R096,ROAD,문의IC,36.52847329115303,127.5105373560586,245723.0292543095,436807.3672561521,2700132602,anchor|named_interchange_or_intersection|branch|node_type_106,R096,0.0,R096,,,,,
R097,ROAD,창녕IC사거리,35.53926406679254,128.4793195605694,334157.29291079874,327930.63510021917,3910014401,anchor|named_interchange_or_intersection|branch|node_type_106,R097,0.0,R097,,,,,
R098,ROAD,북천안IC,36.895279389247065,127.18906244900802,216851.8238691815,477408.10393466894,3020169302,anchor|named_interchange_or_intersection|branch|node_type_106,R098,0.0,R098,,,,,
R099,ROAD,상용사거리,36.270948842584,127.825089052218,274138.538768128,408425.3662727243,2770018302,anchor|named_interchange_or_intersection|branch|node_type_106,R099,0.0,R099,,,,,
R100,ROAD,상용사거리,36.27103719342889,127.82502461491816,274132.6650963861,408435.1210163225,2770018301,anchor|named_interchange_or_intersection|branch|node_type_106,R100,0.0,R100,,,,,
R101,ROAD,안성IC(남측),36.99160019161688,127.15511222639392,213808.321895666,488092.01182024647,2310002702,anchor|named_interchange_or_intersection|branch|node_type_106,R101,0.0,R101,,,,,
R102,ROAD,서대구IC,35.87367675495891,128.53153679105526,338314.10032504203,365111.52425054566,1520000901,anchor|named_interchange_or_intersection|branch|node_type_106,R102,0.0,R102,,,,,
