node_id,node_type,latitude,longitude,demand,tw_start,tw_end,service_time,nearest_backbone_node,nearest_backbone_distance_km,assigned_depot,assignment_hour,assignment_travel_time_min,assignment_distance_km
D01,DEPOT,37.48962289759742,126.64935420063514,0,06:00,22:00,0,R179,17.158134,D01,,,
D02,DEPOT,36.97369730864784,126.69850622314512,0,06:00,22:00,0,R128,19.198614,D02,,,
D03,DEPOT,35.95049924084424,129.38195554856236,0,06:00,22:00,0,R160,1.460335,D03,,,
D04,DEPOT,35.57681435398278,129.36589031926067,0,06:00,22:00,0,R156,16.001653,D04,,,
D05,DEPOT,34.93599270475211,127.57967538708174,0,06:00,22:00,0,R139,9.828481,D05,,,
C001,CUSTOMER,34.86509890602718,126.47470651425724,11,08:00,12:00,40,R175,0.75146,D05,8,219.354453,195.652881
C002,CUSTOMER,35.940094497361464,129.3939524270045,18,08:00,16:00,55,R160,0.754174,D03,8,5.884267,2.214509
C003,CUSTOMER,34.84395341619866,127.3054492627364,8,10:00,17:00,35,R170,0.752338,D05,8,67.034835,48.245419
C004,CUSTOMER,38.15142779715036,128.5785586176093,15,08:00,16:00,50,R196,0.749317,D01,8,398.522789,352.279863
C005,CUSTOMER,36.58452663832817,128.16227404790047,5,10:00,17:00,30,R001,0.750628,D03,8,173.415178,164.346771
C006,CUSTOMER,37.487450604976864,126.49230143072418,12,09:00,15:00,45,R179,0.753871,D01,8,47.594756,17.912005
C007,CUSTOMER,36.007535139329974,126.7950059690857,19,13:00,18:00,60,R083,0.753147,D02,8,245.097399,205.838265
C008,CUSTOMER,35.29125998686533,128.39366541546843,9,10:00,17:00,40,R131,0.749747,D05,8,119.025772,97.397772
C009,CUSTOMER,37.40149629188419,127.7501224623582,16,08:00,16:00,50,R158,0.749887,D01,8,221.324754,180.796998
C010,CUSTOMER,36.79116365959676,127.04768520267434,6,09:00,15:00,30,R173,0.753311,D02,8,130.982875,95.404597
C011,CUSTOMER,35.849453291115225,127.6485214521774,13,08:00,12:00,45,R132,0.753759,D05,8,219.545456,195.834112
C012,CUSTOMER,37.88104125585899,127.20559589608708,20,10:00,17:00,60,R194,0.750443,D01,8,123.807035,86.424139
C013,CUSTOMER,35.90840661233907,128.5895458012278,10,08:00,12:00,40,R103,0.749397,D03,8,127.531922,119.945553
C014,CUSTOMER,36.50713033934257,129.11825526615374,17,09:00,15:00,55,R183,0.752537,D03,8,132.415992,101.706232
C015,CUSTOMER,35.32805396394626,126.80749071168157,7,08:00,16:00,35,R122,0.75413,D05,8,144.152384,122.872491
C016,CUSTOMER,37.639975897312475,128.4993920963733,14,09:00,15:00,50,R169,0.751252,D01,8,307.019468,263.725221
C017,CUSTOMER,37.402507105810955,127.09163052197864,4,10:00,17:00,30,R085,0.749166,D01,8,89.981855,55.748718
C018,CUSTOMER,36.90980535797331,127.6974324214799,11,13:00,18:00,40,R089,0.751686,D01,8,187.304071,144.85577
C019,CUSTOMER,35.25925413307043,128.98319921031865,18,10:00,17:00,55,R091,0.754202,D04,8,95.715833,66.297597
C020,CUSTOMER,36.40656227733448,127.37590168550004,8,09:00,15:00,35,R124,0.752151,D02,8,179.963662,142.80718
C021,CUSTOMER,36.13267567616236,128.10131096183073,15,13:00,18:00,50,R011,0.749245,D03,8,220.015435,209.445967
C022,CUSTOMER,35.43596030394814,127.3966937636112,5,09:00,15:00,30,R119,0.750801,D05,8,94.145821,74.484273
C023,CUSTOMER,37.904164796006626,128.04771881166903,12,13:00,18:00,45,R186,0.753971,D01,8,319.555062,258.506676
C024,CUSTOMER,35.00532317834238,127.81461507505902,19,13:00,18:00,60,R153,0.752962,D05,8,46.837264,27.532874
C025,CUSTOMER,37.075528511577055,128.17417778433065,9,08:00,12:00,40,R114,0.749634,D01,8,263.1855,202.373021
C026,CUSTOMER,36.42477480789192,128.6246352841024,16,13:00,18:00,50,R148,0.750059,D03,8,181.976672,149.672073
C027,CUSTOMER,36.81793077363376,126.56685029668456,6,13:00,18:00,30,R147,0.753457,D02,8,72.562304,27.308394
C028,CUSTOMER,35.691248733574405,128.18821393010631,13,08:00,12:00,45,R138,0.753639,D03,8,180.042595,170.755669
C029,CUSTOMER,36.85093037519596,128.53301978785362,20,09:00,15:00,60,R140,0.750246,D03,8,239.077625,204.930766
C030,CUSTOMER,37.854088474004946,126.75887512711743,10,08:00,12:00,40,R177,0.749481,D01,8,92.67749,56.300284
C031,CUSTOMER,35.478975584115,127.82543130593604,17,08:00,12:00,55,R130,0.752743,D05,8,144.497772,123.208916
C032,CUSTOMER,35.484932668470904,129.29126335969636,7,08:00,12:00,35,R156,0.754068,D04,8,44.522344,16.755721
C033,CUSTOMER,36.05158136640794,128.9991206806346,14,08:00,12:00,50,R180,0.751068,D03,8,54.227006,49.002686
C034,CUSTOMER,37.18702651889031,127.448329565404,4,08:00,16:00,30,R161,0.749195,D01,8,139.694696,103.857874
C035,CUSTOMER,36.22597759972437,127.04758292791584,11,09:00,15:00,40,R108,0.751877,D02,8,186.62699,149.255994
C036,CUSTOMER,37.75876492305966,128.8370749075667,18,09:00,15:00,55,R192,0.754213,D01,8,352.79439,308.018879
C037,CUSTOMER,36.71767480131752,127.4462641799273,8,13:00,18:00,35,R087,0.751927,D02,8,164.439195,127.783856
C038,CUSTOMER,35.14776681606828,127.4494196444692,15,10:00,17:00,50,R142,0.749204,D05,8,47.681188,29.521009
C039,CUSTOMER,35.65127396250952,128.75185048605658,5,10:00,17:00,30,R144,0.751019,D04,8,154.498703,123.189247
C040,CUSTOMER,35.73407802292975,126.76991811177632,12,08:00,16:00,45,R134,0.75405,D05,8,232.865616,174.142331
C041,CUSTOMER,36.10230618330572,127.5129072203772,19,10:00,17:00,60,R129,0.752789,D02,8,244.970832,205.716342
C042,CUSTOMER,37.19222860283356,126.87859636074948,9,13:00,18:00,40,R115,0.749506,D02,8,75.922518,42.126358
C043,CUSTOMER,37.67339044221278,127.84649299811872,16,13:00,18:00,50,R146,0.750204,D01,8,265.774025,223.811924
C044,CUSTOMER,36.45234445218279,127.71828296737688,6,08:00,12:00,30,R121,0.753606,D02,8,187.286641,149.891648
C045,CUSTOMER,37.04959169654376,127.13966165229488,13,09:00,15:00,45,R016,0.753493,D02,8,85.408342,51.281008
C046,CUSTOMER,37.52092794001614,127.43846689184178,20,09:00,15:00,60,R193,0.750098,D01,8,178.496554,139.350021
C047,CUSTOMER,36.314309727320136,128.3268220434642,10,08:00,16:00,40,R065,0.749605,D03,8,133.233197,125.462589
C048,CUSTOMER,35.1445840180501,128.08944878601244,17,10:00,17:00,55,R136,0.752917,D05,8,82.016366,61.577237
C049,CUSTOMER,35.94499014124132,127.09569725326764,7,08:00,12:00,35,R022,0.753992,D02,8,219.683559,181.242899
C050,CUSTOMER,36.164534383199374,128.5709238145302,14,10:00,17:00,50,R111,0.750848,D03,8,103.080814,96.280911
