from_node,to_node,hour,travel_time_min,distance_km
D01,D02,6,110.746917,90.696037
D01,D03,6,311.640996,370.880705
D01,D04,6,405.69729,420.759043
D01,D05,6,352.191369,434.662967
D01,C001,6,308.046917,388.729878
D01,C002,6,310.309378,370.174544
D01,C003,6,362.697064,463.251424
D01,C004,6,282.822624,352.279863
D01,C005,6,191.403098,208.03519
D01,C006,6,33.776923,17.912005
D01,C007,6,212.280806,258.137075
D01,C008,6,346.631286,386.252138
D01,C009,6,157.06918,180.796998
D01,C010,6,131.296304,147.703406
D01,C011,6,236.649725,291.357349
D01,C012,6,87.863057,86.424139
D01,C013,6,275.865337,323.212904
D01,C014,6,296.27919,351.688792
D01,C015,6,252.733824,313.298736
D01,C016,6,217.884783,263.725221
D01,C017,6,63.858091,55.748718
D01,C018,6,132.926276,144.85577
D01,C019,6,347.13576,420.392296
D01,C020,6,166.056862,195.105989
D01,C021,6,216.767507,264.261437
D01,C022,6,292.049919,366.916824
D01,C023,6,226.781011,258.506676
D01,C024,6,357.248555,455.82066
D01,C025,6,186.777613,202.373021
D01,C026,6,260.972644,303.547397
D01,C027,6,103.223137,109.421583
D01,C028,6,274.659052,343.197548
D01,C029,6,219.247039,246.64855
D01,C030,6,65.771122,56.300284
D01,C031,6,267.969748,334.077176
D01,C032,6,383.466119,469.933904
D01,C033,6,275.989913,323.380155
D01,C034,6,99.138172,103.857874
D01,C035,6,170.785677,201.554804
D01,C036,6,250.37021,308.018879
D01,C037,6,152.412078,176.498718
D01,C038,6,321.178676,406.640366
D01,C039,6,305.406881,363.49428
D01,C040,6,232.865414,286.205576
D01,C041,6,212.190982,258.015151
D01,C042,6,59.693129,50.068691
D01,C043,6,188.613824,223.811924
D01,C044,6,171.253815,202.190457
D01,C045,6,98.953087,103.579817
D01,C046,6,126.674973,139.350021
D01,C047,6,219.915485,246.917326
D01,C048,6,375.735598,423.578507
D01,C049,6,194.245178,233.541709
D01,C050,6,241.318638,276.10149
D02,D01,6,110.746917,90.696037
D02,D03,6,331.741056,419.910105
D02,D04,6,377.090159,458.89915
D02,D05,6,313.850654,382.364158
D02,C001,6,269.706202,336.431069
D02,C002,6,330.409438,419.203944
D02,C003,6,324.356349,410.952615
D02,C004,6,327.172206,414.797168
D02,C005,6,218.026046,244.324293
D02,C006,6,97.03538,100.967068
D02,C007,6,173.940091,205.838266
D02,C008,6,308.290571,333.953329
D02,C009,6,201.418762,243.314303
D02,C010,6,92.955589,95.404597
D02,C011,6,198.30901,239.05854
D02,C012,6,134.99543,152.73616
D02,C013,6,244.060827,301.463346
D02,C014,6,322.902138,387.977895
D02,C015,6,214.393109,260.999927
