vehicle_id,sequence_no,node_id,arrival_time,waiting_time,service_start,service_end,departure_time,tardiness,cumulative_load
V001,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,29.0
V001,1,C046,08:07,53.32502699999998,09:00,10:00,10:00,0.0,9.0
V001,2,C042,12:00,60.02923299999998,13:00,13:40,13:40,0.0,0.0
V001,3,D02,14:31,0.0,14:31,14:31,14:31,0.0,0.0
V002,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,26.0
V002,1,C036,10:10,0.0,10:10,11:05,11:05,0.0,8.0
V002,2,C034,13:47,0.0,13:47,14:17,14:17,0.0,4.0
V002,3,C017,14:54,0.0,14:54,15:24,15:24,0.0,0.0
V002,4,D01,16:26,0.0,16:26,16:26,16:26,0.0,0.0
V003,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,12.0
V003,1,C006,06:34,146.223077,09:00,09:45,09:45,0.0,0.0
V003,2,D01,10:25,0.0,10:25,10:25,10:25,0.0,0.0
V004,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,30.0
V004,1,C016,09:38,0.0,09:38,10:28,10:28,0.0,16.0
V004,2,C043,12:03,56.92682400000001,13:00,13:50,13:50,0.0,0.0
V004,3,D01,16:50,0.0,16:50,16:50,16:50,0.0,0.0
V005,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,20.0
V005,1,C012,07:28,152.13694299999997,10:00,11:00,11:00,0.0,0.0
V005,2,D01,12:24,0.0,12:24,12:24,12:24,0.0,0.0
V006,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,26.0
V006,1,C030,07:06,54.22887800000001,08:00,08:40,08:40,0.0,16.0
V006,2,C009,11:15,0.0,11:15,12:05,12:05,0.0,0.0
V006,3,D01,14:42,0.0,14:42,14:42,14:42,0.0,0.0
V007,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,27.0
V007,1,C004,10:43,0.0,10:43,11:33,11:33,0.0,12.0
V007,2,C023,12:30,30.389259000000038,13:00,13:45,13:45,0.0,0.0
V007,3,D01,17:21,0.0,17:21,17:21,17:21,0.0,0.0
V009,0,D02,06:00,0.0,06:00,06:00,06:00,0.0,16.0
V009,1,C037,07:57,303.301215,13:00,13:35,13:35,0.0,8.0
V009,2,C020,14:05,0.0,14:05,14:40,14:40,0.0,0.0
V009,3,D02,16:42,0.0,16:42,16:42,16:42,0.0,0.0
V010,0,D02,06:00,0.0,06:00,06:00,06:00,0.0,30.0
V010,1,C044,08:13,0.0,08:13,08:43,08:43,0.0,24.0
V010,2,C041,10:23,0.0,10:23,11:23,11:23,0.0,5.0
V010,3,C022,13:16,0.0,13:16,13:46,13:46,0.0,0.0
V010,4,D05,14:50,0.0,14:50,14:50,14:50,0.0,0.0
V011,0,D02,06:00,0.0,06:00,06:00,06:00,0.0,30.0
V011,1,C045,07:01,119.387628,09:00,09:45,09:45,0.0,17.0
V011,2,C010,10:27,0.0,10:27,10:57,10:57,0.0,11.0
V011,3,C018,12:27,32.71316999999999,13:00,13:40,13:40,0.0,0.0
V011,4,D01,15:47,0.0,15:47,15:47,15:47,0.0,0.0
V012,0,D02,06:00,0.0,06:00,06:00,06:00,0.0,17.0
V012,1,C027,06:51,368.504171,13:00,13:30,13:30,0.0,11.0
V012,2,C035,14:51,0.0,14:51,15:31,15:31,0.0,0.0
V012,3,D02,17:41,0.0,17:41,17:41,17:41,0.0,0.0
V013,0,D02,06:00,0.0,06:00,06:00,06:00,0.0,26.0
V013,1,C007,08:54,246.05990900000006,13:00,14:00,14:00,0.0,7.0
V013,2,C015,15:29,0.0,15:29,16:04,16:04,0.0,0.0
V013,3,D05,17:54,0.0,17:54,17:54,17:54,0.0,0.0
V014,0,D03,06:00,0.0,06:00,06:00,06:00,0.0,18.0
V014,1,C002,06:04,115.82406800000001,08:00,08:55,08:55,0.0,0.0
V014,2,D03,09:01,0.0,09:01,09:01,09:01,0.0,0.0
V015,0,D03,06:00,0.0,06:00,06:00,06:00,0.0,29.0
V015,1,C029,08:50,10.332007999999973,09:00,10:00,10:00,0.0,9.0
V015,2,C025,10:35,0.0,10:35,11:15,11:15,0.0,0.0
V015,3,D01,14:14,0.0,14:14,14:14,14:14,0.0,0.0
V016,0,D03,06:00,0.0,06:00,06:00,06:00,0.0,29.0
V016,1,C005,08:03,116.93116199999997,10:00,10:30,10:30,0.0,24.0
V016,2,C047,11:01,0.0,11:01,11:41,11:41,0.0,14.0
V016,3,C050,12:04,0.0,12:04,12:54,12:54,0.0,0.0
V016,4,D03,14:08,0.0,14:08,14:08,14:08,0.0,0.0
V017,0,D03,06:00,0.0,06:00,06:00,06:00,0.0,27.0
V017,1,C013,07:31,29.493472999999994,08:00,08:40,08:40,0.0,17.0
V017,2,C014,11:58,0.0,11:58,12:53,12:53,0.0,0.0
V017,3,D03,14:27,0.0,14:27,14:27,14:27,0.0,0.0
V018,0,D03,06:00,0.0,06:00,06:00,06:00,0.0,30.0
V018,1,C026,08:09,290.85526600000003,13:00,13:50,13:50,0.0,14.0
V018,2,C033,15:27,0.0,15:27,16:17,16:17,206.691239,0.0
V018,3,D03,16:58,0.0,16:58,16:58,16:58,0.0,0.0
V020,0,D03,06:00,0.0,06:00,06:00,06:00,0.0,28.0
V020,1,C021,08:36,263.860011,13:00,13:50,13:50,0.0,13.0
V020,2,C028,14:48,0.0,14:48,15:33,15:33,167.95739300000002,0.0
V020,3,D05,17:45,0.0,17:45,17:45,17:45,0.0,0.0
V021,0,D04,06:00,0.0,06:00,06:00,06:00,0.0,30.0
