vehicle_id,start_depot,customer_sequence,end_depot,route_tardiness,route_travel_time,route_distance,route_vehicle_cost,active_objective_value
V001,D01,C046|C042,D02,0.0,298.077123,342.716359,120000.0,342.716359
V002,D01,C036|C034|C017,D01,0.0,511.49305300000003,642.5159719999999,120000.0,642.5159719999999
V003,D01,C006,D01,0.0,73.695105,35.82401,120000.0,35.82401
V004,D01,C016|C043,D01,0.0,493.113645,614.980068,120000.0,614.980068
V005,D01,C012,D01,0.0,171.732339,172.848278,120000.0,172.848278
V006,D01,C030|C009,D01,0.0,378.258517,369.182635,120000.0,369.182635
V007,D01,C004|C023,D01,0.0,556.083525,684.8559869999999,120000.0,684.8559869999999
V009,D02,C037|C020,D02,0.0,269.008177,311.653949,120000.0,311.653949
V010,D02,C044|C041|C022,D05,0.0,409.6652,477.57208,120000.0,477.57208
V011,D02,C045|C010|C018,D01,0.0,319.78382899999997,358.013385,120000.0,358.013385
V012,D02,C027|C035,D02,0.0,262.213478,289.45711800000004,120000.0,289.45711800000004
V013,D02,C007|C015,D05,0.0,373.174182,417.09633799999995,120000.0,417.09633799999995
V014,D03,C002,D03,0.0,10.060199,4.429018,120000.0,4.429018
V015,D03,C029|C025,D01,0.0,383.252785,453.078584,120000.0,453.078584
V016,D03,C005|C047|C050,D03,0.0,250.695153,331.69445,120000.0,331.69445
V017,D03,C013|C014,D03,0.0,382.469687,363.181607,120000.0,363.181607
V018,D03,C026|C033,D03,206.691239,267.118468,289.089791,120000.0,289.089791
V020,D03,C021|C028,D05,167.95739300000002,345.99235,456.438979,120000.0,456.438979
V021,D04,C032|C019|C039,D04,0.0,241.002858,249.395034,120000.0,249.395034
V023,D05,C024,D05,0.0,64.967818,55.065748,120000.0,55.065748
V024,D05,C038|C003,D05,0.0,125.75533,135.875894,120000.0,135.875894
V025,D05,C008|C048,D05,0.0,171.779376,196.301378,120000.0,196.301378
V027,D05,C001|C040|C049,D02,65.27069400000005,489.08858899999996,559.276874,120000.0,559.276874
V028,D05,C031|C011,D05,0.0,346.729608,409.054821,120000.0,409.054821
