iteration,destroy_operator,repair_operator,removed_count,accepted,event,temperature,candidate_feasible,candidate_active_objective,current_active_objective,best_active_objective,best_tardiness,best_travel_time,best_distance,best_vehicle_cost,best_used_vehicle_count,completed_iterations
1,route,tw_aware,2,True,GLOBAL_BEST,1.0,True,0.0,0.0,0.0,0.0,10736.186193,12470.038983,3000000.0,25,50
2,random,depot_vehicle,5,True,GLOBAL_BEST,0.995,True,0.0,0.0,0.0,0.0,11344.422304000002,13358.724084000001,3120000.0,26,50
3,worst,depot_vehicle,15,True,GLOBAL_BEST,0.990025,True,0.0,0.0,0.0,0.0,12584.156712999998,14757.004878,3240000.0,27,50
4,worst,depot_vehicle,8,True,GLOBAL_BEST,0.985074875,True,0.0,0.0,0.0,0.0,12578.329477,14759.655630000001,3240000.0,27,50
5,route,tw_aware,3,True,SA_ACCEPTED,0.9801495006250001,True,0.0,0.0,0.0,0.0,12578.329477,14759.655630000001,3240000.0,27,50
6,worst,depot_vehicle,8,True,SA_ACCEPTED,0.9752487531218751,True,0.0,0.0,0.0,0.0,12578.329477,14759.655630000001,3240000.0,27,50
7,route,depot_vehicle,2,True,SA_ACCEPTED,0.9703725093562657,True,0.0,0.0,0.0,0.0,12578.329477,14759.655630000001,3240000.0,27,50
8,route,tw_aware,2,True,SA_ACCEPTED,0.9655206468094844,True,0.0,0.0,0.0,0.0,12578.329477,14759.655630000001,3240000.0,27,50
9,worst,depot_vehicle,12,True,SA_ACCEPTED,0.960693043575437,True,0.0,0.0,0.0,0.0,12578.329477,14759.655630000001,3240000.0,27,50
10,route,tw_aware,3,True,SA_ACCEPTED,0.9558895783575597,True,0.0,0.0,0.0,0.0,12578.329477,14759.655630000001,3240000.0,27,50
11,random,greedy,8,True,CURRENT_IMPROVEMENT,0.9511101304657719,True,0.0,0.0,0.0,0.0,12578.329477,14759.655630000001,3240000.0,27,50
12,random,tw_aware,9,True,SA_ACCEPTED,0.946354579813443,True,0.0,0.0,0.0,0.0,12578.329477,14759.655630000001,3240000.0,27,50
13,route,regret2,3,True,SA_ACCEPTED,0.9416228069143757,True,0.0,0.0,0.0,0.0,12578.329477,14759.655630000001,3240000.0,27,50
14,tardiness,depot_vehicle,5,True,SA_ACCEPTED,0.9369146928798039,True,0.0,0.0,0.0,0.0,12578.329477,14759.655630000001,3240000.0,27,50
15,random,regret2,8,True,SA_ACCEPTED,0.9322301194154049,True,0.0,0.0,0.0,0.0,12578.329477,14759.655630000001,3240000.0,27,50
16,worst,tw_aware,12,True,GLOBAL_BEST,0.9275689688183278,True,0.0,0.0,0.0,0.0,12394.642081000002,14366.904119,3240000.0,27,50
17,shaw,regret2,15,True,GLOBAL_BEST,0.9229311239742362,True,0.0,0.0,0.0,0.0,12283.715627000003,14273.121581000001,3120000.0,26,50
18,random,tw_aware,12,True,GLOBAL_BEST,0.918316468354365,True,0.0,0.0,0.0,0.0,12519.544664000003,14584.003695000001,3120000.0,26,50
19,random,tw_aware,15,True,SA_ACCEPTED,0.9137248860125932,True,0.0,0.0,0.0,0.0,12519.544664000003,14584.003695000001,3120000.0,26,50
20,worst,depot_vehicle,5,True,GLOBAL_BEST,0.9091562615825302,True,0.0,0.0,0.0,0.0,12204.09991,14476.458658,3000000.0,25,50
