vehicle_id,sequence_no,node_id,arrival_time,waiting_time,service_start,service_end,departure_time,tardiness,cumulative_load
V001,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,29.0
V001,1,C004,10:43,0.0,10:43,11:33,11:33,0.0,14.0
V001,2,C016,12:38,0.0,12:38,13:28,13:28,0.0,0.0
V001,3,D01,16:55,0.0,16:55,16:55,16:55,0.0,0.0
V002,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,26.0
V002,1,C001,11:08,0.0,11:08,11:48,11:48,0.0,15.0
V002,2,C015,12:44,0.0,12:44,13:19,13:19,0.0,8.0
V002,3,C003,15:06,0.0,15:06,15:41,15:41,0.0,0.0
V002,4,D05,16:28,0.0,16:28,16:28,16:28,0.0,0.0
V003,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,29.0
V003,1,C010,08:11,48.703696000000036,09:00,09:30,09:30,0.0,23.0
V003,2,C005,12:26,0.0,12:26,12:56,12:56,0.0,18.0
V003,3,C002,14:58,0.0,14:58,15:53,15:53,0.0,0.0
V003,4,D03,15:57,0.0,15:57,15:57,15:57,0.0,0.0
V004,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,28.0
V004,1,C006,06:34,146.223077,09:00,09:45,09:45,0.0,16.0
V004,2,C009,12:34,0.0,12:34,13:24,13:24,0.0,0.0
V004,3,D01,15:54,0.0,15:54,15:54,15:54,0.0,0.0
V005,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,27.0
V005,1,C034,07:39,20.861828000000003,08:00,08:30,08:30,0.0,23.0
V005,2,C017,09:24,36.30587700000001,10:00,10:30,10:30,0.0,19.0
V005,3,C007,13:44,0.0,13:44,14:44,14:44,0.0,0.0
V005,4,D02,17:30,0.0,17:30,17:30,17:30,0.0,0.0
V006,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,30.0
V006,1,C011,09:57,0.0,09:57,10:42,10:42,0.0,17.0
V006,2,C020,11:57,0.0,11:57,12:32,12:32,0.0,9.0
V006,3,C008,15:44,0.0,15:44,16:24,16:24,0.0,0.0
V006,4,D05,17:55,0.0,17:55,17:55,17:55,0.0,0.0
V007,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,20.0
V007,1,C022,10:52,0.0,10:52,11:22,11:22,0.0,15.0
V007,2,C039,13:29,0.0,13:29,13:59,13:59,0.0,10.0
V007,3,C047,15:23,0.0,15:23,16:03,16:03,0.0,0.0
V007,4,D03,17:44,0.0,17:44,17:44,17:44,0.0,0.0
V008,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,23.0
V008,1,C044,08:51,0.0,08:51,09:21,09:21,0.0,17.0
V008,2,C014,14:09,0.0,14:09,15:04,15:04,0.0,0.0
V008,3,D03,16:36,0.0,16:36,16:36,16:36,0.0,0.0
V009,0,D02,06:00,0.0,06:00,06:00,06:00,0.0,27.0
V009,1,C013,10:04,0.0,10:04,10:44,10:44,0.0,17.0
V009,2,C018,13:10,0.0,13:10,13:50,13:50,0.0,6.0
V009,3,C027,16:08,0.0,16:08,16:38,16:38,0.0,0.0
V009,4,D02,17:33,0.0,17:33,17:33,17:33,0.0,0.0
V010,0,D02,06:00,0.0,06:00,06:00,06:00,0.0,27.0
V010,1,C035,08:12,47.55503799999997,09:00,09:40,09:40,0.0,16.0
V010,2,C026,14:40,0.0,14:40,15:30,15:30,0.0,0.0
V010,3,D03,17:37,0.0,17:37,17:37,17:37,0.0,0.0
V011,0,D02,06:00,0.0,06:00,06:00,06:00,0.0,21.0
V011,1,C025,09:33,0.0,09:33,10:13,10:13,0.0,12.0
V011,2,C023,12:12,48.139013999999975,13:00,13:45,13:45,0.0,0.0
V011,3,D01,17:21,0.0,17:21,17:21,17:21,0.0,0.0
V012,0,D02,06:00,0.0,06:00,06:00,06:00,0.0,29.0
V012,1,C040,09:15,0.0,09:15,10:00,10:00,0.0,17.0
V012,2,C037,12:51,8.920810999999958,13:00,13:35,13:35,0.0,9.0
V012,3,C042,15:09,0.0,15:09,15:49,15:49,0.0,0.0
V012,4,D01,16:47,0.0,16:47,16:47,16:47,0.0,0.0
V013,0,D02,06:00,0.0,06:00,06:00,06:00,0.0,25.0
V013,1,C030,07:59,1.2424270000000206,08:00,08:40,08:40,0.0,15.0
V013,2,C038,16:24,0.0,16:24,17:14,17:14,0.0,0.0
V013,3,D05,17:58,0.0,17:58,17:58,17:58,0.0,0.0
V014,0,D03,06:00,0.0,06:00,06:00,06:00,0.0,27.0
V014,1,C033,06:38,81.51631700000002,08:00,08:50,08:50,0.0,13.0
V014,2,C028,11:00,0.0,11:00,11:45,11:45,0.0,0.0
V014,3,D01,16:07,0.0,16:07,16:07,16:07,0.0,0.0
V015,0,D03,06:00,0.0,06:00,06:00,06:00,0.0,21.0
V015,1,C049,09:53,0.0,09:53,10:28,10:28,0.0,14.0
V015,2,C050,13:27,0.0,13:27,14:17,14:17,0.0,0.0
V015,3,D03,15:27,0.0,15:27,15:27,15:27,0.0,0.0
V016,0,D03,06:00,0.0,06:00,06:00,06:00,0.0,22.0
V016,1,C032,08:11,0.0,08:11,08:46,08:46,0.0,15.0
V016,2,C021,12:50,10.438219000000004,13:00,13:50,13:50,0.0,0.0
V016,3,D01,17:17,0.0,17:17,17:17,17:17,0.0,0.0
V017,0,D03,06:00,0.0,06:00,06:00,06:00,0.0,30.0
V017,1,C031,08:50,0.0,08:50,09:45,09:45,0.0,13.0
V017,2,C045,13:08,0.0,13:08,13:53,13:53,0.0,0.0
V017,3,D01,15:27,0.0,15:27,15:27,15:27,0.0,0.0
V018,0,D03,06:00,0.0,06:00,06:00,06:00,0.0,18.0
V018,1,C019,08:42,78.22305000000006,10:00,10:55,10:55,0.0,0.0
V018,2,D01,16:42,0.0,16:42,16:42,16:42,0.0,0.0
V019,0,D03,06:00,0.0,06:00,06:00,06:00,0.0,20.0
V019,1,C029,08:50,10.332007999999973,09:00,10:00,10:00,0.0,0.0
V019,2,D01,13:39,0.0,13:39,13:39,13:39,0.0,0.0
V020,0,D03,06:00,0.0,06:00,06:00,06:00,0.0,18.0
V020,1,C036,11:21,0.0,11:21,12:16,12:16,0.0,0.0
V020,2,D01,16:26,0.0,16:26,16:26,16:26,0.0,0.0
V021,0,D04,06:00,0.0,06:00,06:00,06:00,0.0,16.0
V021,1,C043,12:14,46.342550000000074,13:00,13:50,13:50,0.0,0.0
V021,2,D01,16:50,0.0,16:50,16:50,16:50,0.0,0.0
V022,0,D04,06:00,0.0,06:00,06:00,06:00,0.0,19.0
V022,1,C024,08:49,250.89420799999994,13:00,14:00,14:00,0.0,0.0
V022,2,D03,17:42,0.0,17:42,17:42,17:42,0.0,0.0
V023,0,D05,06:00,0.0,06:00,06:00,06:00,0.0,19.0
V023,1,C041,09:02,58.192612000000054,10:00,11:00,11:00,0.0,0.0
V023,2,D01,14:23,0.0,14:23,14:23,14:23,0.0,0.0
V024,0,D05,06:00,0.0,06:00,06:00,06:00,0.0,17.0
V024,1,C048,06:58,181.79483800000003,10:00,10:55,10:55,0.0,0.0
V024,2,D01,17:11,0.0,17:11,17:11,17:11,0.0,0.0
V025,0,D05,06:00,0.0,06:00,06:00,06:00,0.0,20.0
V025,1,C012,12:16,0.0,12:16,13:16,13:16,0.0,0.0
V025,2,D01,14:40,0.0,14:40,14:40,14:40,0.0,0.0
V026,0,D05,06:00,0.0,06:00,06:00,06:00,0.0,20.0
V026,1,C046,11:53,0.0,11:53,12:53,12:53,0.0,0.0
V026,2,D01,15:00,0.0,15:00,15:00,15:00,0.0,0.0
