iteration,destroy_operator,repair_operator,removed_count,accepted,event,temperature,candidate_feasible,candidate_active_objective,current_active_objective,best_active_objective,best_tardiness,best_travel_time,best_distance,best_vehicle_cost,best_used_vehicle_count,completed_iterations
1,route,regret2,2,False,REJECTED,1.0,True,8679.875028,8615.439922,8615.439922,759.324746,8615.439922,10243.098351999999,2880000.0,24,50
2,random,regret2,8,True,GLOBAL_BEST,0.995,True,8326.337773000001,8326.337773000001,8326.337773000001,759.324746,8326.337773000001,9836.141061,2880000.0,24,50
3,shaw,greedy,8,False,REJECTED,0.990025,True,8335.074050000001,8326.337773000001,8326.337773000001,759.324746,8326.337773000001,9836.141061,2880000.0,24,50
4,worst,greedy,5,True,GLOBAL_BEST,0.985074875,True,8309.696924,8309.696924,8309.696924,861.2337489999999,8309.696924,9902.919263,2880000.0,24,50
5,worst,depot_vehicle,8,True,GLOBAL_BEST,0.9801495006250001,True,8302.264816,8302.264816,8302.264816,872.8978569999999,8302.264816,9921.441487999999,2880000.0,24,50
6,random,greedy,11,True,GLOBAL_BEST,0.9752487531218751,True,8146.452740000001,8146.452740000001,8146.452740000001,630.0814689999999,8146.452740000001,9624.268172999995,3000000.0,25,50
7,random,greedy,8,True,GLOBAL_BEST,0.9703725093562657,True,8038.2675469999995,8038.2675469999995,8038.2675469999995,519.3547859999998,8038.2675469999995,9440.818803999997,3000000.0,25,50
8,random,regret2,9,False,REJECTED,0.9655206468094844,True,8074.969246999998,8038.2675469999995,8038.2675469999995,519.3547859999998,8038.2675469999995,9440.818803999997,3000000.0,25,50
9,worst,regret2,11,False,REJECTED,0.960693043575437,True,8117.236230999999,8038.2675469999995,8038.2675469999995,519.3547859999998,8038.2675469999995,9440.818803999997,3000000.0,25,50
10,random,depot_vehicle,9,True,GLOBAL_BEST,0.9558895783575597,True,7816.378056999999,7816.378056999999,7816.378056999999,326.6852789999997,7816.378056999999,9151.685201999999,3000000.0,25,50
11,worst,greedy,13,False,REJECTED,0.9511101304657719,True,8032.186001999999,7816.378056999999,7816.378056999999,326.6852789999997,7816.378056999999,9151.685201999999,3000000.0,25,50
12,worst,greedy,13,False,REJECTED,0.946354579813443,True,8032.186001999999,7816.378056999999,7816.378056999999,326.6852789999997,7816.378056999999,9151.685201999999,3000000.0,25,50
13,random,depot_vehicle,12,False,REJECTED,0.9416228069143757,True,7969.699657999999,7816.378056999999,7816.378056999999,326.6852789999997,7816.378056999999,9151.685201999999,3000000.0,25,50
14,random,regret2,15,True,GLOBAL_BEST,0.9369146928798039,True,7797.464080999999,7797.464080999999,7797.464080999999,552.3958849999998,7797.464080999999,9262.838333,2760000.0,23,50
15,shaw,depot_vehicle,5,False,REJECTED,0.9322301194154049,True,7873.637734999999,7797.464080999999,7797.464080999999,552.3958849999998,7797.464080999999,9262.838333,2760000.0,23,50
16,random,regret2,11,False,REJECTED,0.9275689688183278,True,7973.819415,7797.464080999999,7797.464080999999,552.3958849999998,7797.464080999999,9262.838333,2760000.0,23,50
17,worst,regret2,6,True,SA_ACCEPTED,0.9229311239742362,True,7797.464080999999,7797.464080999999,7797.464080999999,552.3958849999998,7797.464080999999,9262.838333,2760000.0,23,50
18,worst,depot_vehicle,8,True,SA_ACCEPTED,0.918316468354365,True,7797.464080999999,7797.464080999999,7797.464080999999,552.3958849999998,7797.464080999999,9262.838333,2760000.0,23,50
19,route,greedy,3,False,REJECTED,0.9137248860125932,True,8021.955874999999,7797.464080999999,7797.464080999999,552.3958849999998,7797.464080999999,9262.838333,2760000.0,23,50
20,route,regret2,2,True,GLOBAL_BEST,0.9091562615825302,True,7715.6971379999995,7715.6971379999995,7715.6971379999995,531.1639259999998,7715.6971379999995,9175.141903,2760000.0,23,50
21,random,regret2,14,False,REJECTED,0.9046104802746175,True,7767.862112,7715.6971379999995,7715.6971379999995,531.1639259999998,7715.6971379999995,9175.141903,2760000.0,23,50
22,random,regret2,11,False,REJECTED,0.9000874278732445,True,7726.663366999999,7715.6971379999995,7715.6971379999995,531.1639259999998,7715.6971379999995,9175.141903,2760000.0,23,50
23,route,regret2,1,True,SA_ACCEPTED,0.8955869907338783,True,7715.6971379999995,7715.6971379999995,7715.6971379999995,531.1639259999998,7715.6971379999995,9175.141903,2760000.0,23,50
24,worst,greedy,15,False,REJECTED,0.8911090557802088,True,7842.118433,7715.6971379999995,7715.6971379999995,531.1639259999998,7715.6971379999995,9175.141903,2760000.0,23,50
25,shaw,depot_vehicle,8,True,GLOBAL_BEST,0.8866535105013078,True,7587.619222,7587.619222,7587.619222,354.13252899999975,7587.619222,9017.102868999998,2760000.0,23,50
26,random,greedy,12,True,GLOBAL_BEST,0.8822202429488013,True,7575.734546000001,7575.734546000001,7575.734546000001,481.9630669999997,7575.734546000001,9003.891862,2760000.0,23,50
27,shaw,depot_vehicle,10,False,REJECTED,0.8778091417340573,True,7638.7425920000005,7575.734546000001,7575.734546000001,481.9630669999997,7575.734546000001,9003.891862,2760000.0,23,50
28,random,greedy,11,False,REJECTED,0.8734200960253871,True,7848.894102,7575.734546000001,7575.734546000001,481.9630669999997,7575.734546000001,9003.891862,2760000.0,23,50
29,worst,greedy,7,True,GLOBAL_BEST,0.8690529955452602,True,7542.233486,7542.233486,7542.233486,406.57276899999977,7542.233486,8970.356225,2880000.0,24,50
