vehicle_id,sequence_no,node_id,arrival_time,waiting_time,service_start,service_end,departure_time,tardiness,cumulative_load
V001,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,30.0
V001,1,C036,10:10,0.0,10:10,11:05,11:05,0.0,12.0
V001,2,C023,12:39,21.007796999999982,13:00,13:45,13:45,0.0,0.0
V001,3,D01,17:21,0.0,17:21,17:21,17:21,0.0,0.0
V002,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,29.0
V002,1,C044,08:51,0.0,08:51,09:21,09:21,0.0,23.0
V002,2,C020,10:09,0.0,10:09,10:44,10:44,0.0,15.0
V002,3,C021,11:47,73.14985999999999,13:00,13:50,13:50,0.0,0.0
V002,4,D03,16:19,0.0,16:19,16:19,16:19,0.0,0.0
V003,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,26.0
V003,1,C043,09:09,231.38617599999998,13:00,13:50,13:50,0.0,10.0
V003,2,C030,16:05,0.0,16:05,16:45,16:45,245.39410299999997,0.0
V003,3,D01,17:56,0.0,17:56,17:56,17:56,0.0,0.0
V004,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,29.0
V004,1,C017,07:04,176.141909,10:00,10:30,10:30,0.0,25.0
V004,2,C034,11:08,0.0,11:08,11:38,11:38,0.0,21.0
V004,3,C018,12:16,43.61515099999997,13:00,13:40,13:40,0.0,10.0
V004,4,C047,15:06,0.0,15:06,15:46,15:46,0.0,0.0
V004,5,D03,17:19,0.0,17:19,17:19,17:19,0.0,0.0
V005,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,20.0
V005,1,C012,07:28,152.13694299999997,10:00,11:00,11:00,0.0,0.0
V005,2,D01,12:24,0.0,12:24,12:24,12:24,0.0,0.0
V008,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,28.0
V008,1,C009,08:37,0.0,08:37,09:27,09:27,0.0,12.0
V008,2,C006,12:16,0.0,12:16,13:01,13:01,0.0,0.0
V008,3,D01,13:34,0.0,13:34,13:34,13:34,0.0,0.0
V009,0,D02,06:00,0.0,06:00,06:00,06:00,0.0,27.0
V009,1,C037,07:57,303.301215,13:00,13:35,13:35,0.0,19.0
V009,2,C010,14:21,0.0,14:21,14:51,14:51,0.0,13.0
V009,3,C045,15:24,0.0,15:24,16:09,16:09,24.27416000000005,0.0
V009,4,D02,17:14,0.0,17:14,17:14,17:14,0.0,0.0
V011,0,D02,06:00,0.0,06:00,06:00,06:00,0.0,29.0
V011,1,C046,08:51,8.975445000000036,09:00,10:00,10:00,0.0,9.0
V011,2,C042,12:00,60.02923299999998,13:00,13:40,13:40,0.0,0.0
V011,3,D02,14:31,0.0,14:31,14:31,14:31,0.0,0.0
V012,0,D02,06:00,0.0,06:00,06:00,06:00,0.0,30.0
V012,1,C041,08:54,66.14973299999997,10:00,11:00,11:00,0.0,11.0
V012,2,C035,12:44,0.0,12:44,13:24,13:24,0.0,0.0
V012,3,D02,15:30,0.0,15:30,15:30,15:30,0.0,0.0
V013,0,D02,06:00,0.0,06:00,06:00,06:00,0.0,29.0
V013,1,C016,10:22,0.0,10:22,11:12,11:12,0.0,15.0
V013,2,C004,12:17,0.0,12:17,13:07,13:07,0.0,0.0
V013,3,D01,17:37,0.0,17:37,17:37,17:37,0.0,0.0
V014,0,D03,06:00,0.0,06:00,06:00,06:00,0.0,18.0
V014,1,C002,06:04,115.82406800000001,08:00,08:55,08:55,0.0,0.0
V014,2,D03,09:01,0.0,09:01,09:01,09:01,0.0,0.0
V015,0,D03,06:00,0.0,06:00,06:00,06:00,0.0,28.0
V015,1,C050,07:13,166.84587199999999,10:00,10:50,10:50,0.0,14.0
V015,2,C033,11:28,0.0,11:28,12:18,12:18,0.0,0.0
V015,3,D03,12:56,0.0,12:56,12:56,12:56,0.0,0.0
V016,0,D03,06:00,0.0,06:00,06:00,06:00,0.0,30.0
V016,1,C028,08:08,0.0,08:08,08:53,08:53,0.0,17.0
V016,2,C031,09:56,0.0,09:56,10:51,10:51,0.0,0.0
V016,3,D05,12:33,0.0,12:33,12:33,12:33,0.0,0.0
V017,0,D03,06:00,0.0,06:00,06:00,06:00,0.0,22.0
V017,1,C005,08:03,116.93116199999997,10:00,10:30,10:30,0.0,17.0
V017,2,C014,12:47,0.0,12:47,13:42,13:42,0.0,0.0
V017,3,D03,15:12,0.0,15:12,15:12,15:12,0.0,0.0
V018,0,D03,06:00,0.0,06:00,06:00,06:00,0.0,29.0
V018,1,C029,08:50,10.332007999999973,09:00,10:00,10:00,0.0,9.0
V018,2,C025,10:35,0.0,10:35,11:15,11:15,0.0,0.0
V018,3,D01,14:14,0.0,14:14,14:14,14:14,0.0,0.0
V020,0,D03,06:00,0.0,06:00,06:00,06:00,0.0,26.0
V020,1,C026,08:09,290.85526600000003,13:00,13:50,13:50,0.0,10.0
V020,2,C013,15:27,0.0,15:27,16:07,16:07,206.57232599999998,0.0
V020,3,D03,17:44,0.0,17:44,17:44,17:44,0.0,0.0
V021,0,D04,06:00,0.0,06:00,06:00,06:00,0.0,30.0
V021,1,C039,07:50,130.35575900000003,10:00,10:30,10:30,0.0,25.0
V021,2,C019,11:15,0.0,11:15,12:10,12:10,0.0,7.0
V021,3,C032,12:49,0.0,12:49,13:24,13:24,48.73606999999993,0.0
V021,4,D04,13:54,0.0,13:54,13:54,13:54,0.0,0.0
V023,0,D05,06:00,0.0,06:00,06:00,06:00,0.0,27.0
V023,1,C003,06:48,192.426891,10:00,10:35,10:35,0.0,19.0
V023,2,C007,13:59,0.0,13:59,14:59,14:59,0.0,0.0
V023,3,D02,17:45,0.0,17:45,17:45,17:45,0.0,0.0
V024,0,D05,06:00,0.0,06:00,06:00,06:00,0.0,29.0
V024,1,C001,08:36,0.0,08:36,09:16,09:16,0.0,18.0
V024,2,C040,11:39,0.0,11:39,12:24,12:24,0.0,6.0
V024,3,C027,14:50,0.0,14:50,15:20,15:20,0.0,0.0
V024,4,D02,16:11,0.0,16:11,16:11,16:11,0.0,0.0
V025,0,D05,06:00,0.0,06:00,06:00,06:00,0.0,26.0
V025,1,C008,07:24,155.530098,10:00,10:40,10:40,0.0,17.0
V025,2,C048,11:09,0.0,11:09,12:04,12:04,0.0,0.0
V025,3,D05,13:02,0.0,13:02,13:02,13:02,0.0,0.0
V026,0,D05,06:00,0.0,06:00,06:00,06:00,0.0,27.0
V026,1,C011,08:36,0.0,08:36,09:21,09:21,0.0,14.0
V026,2,C049,10:31,0.0,10:31,11:06,11:06,0.0,7.0
V026,3,C015,12:04,0.0,12:04,12:39,12:39,0.0,0.0
V026,4,D05,14:21,0.0,14:21,14:21,14:21,0.0,0.0
V027,0,D05,06:00,0.0,06:00,06:00,06:00,0.0,19.0
V027,1,C024,06:33,386.760652,13:00,14:00,14:00,0.0,0.0
V027,2,D05,14:32,0.0,14:32,14:32,14:32,0.0,0.0
V028,0,D05,06:00,0.0,06:00,06:00,06:00,0.0,20.0
V028,1,C038,06:34,206.16173700000002,10:00,10:50,10:50,0.0,5.0
V028,2,C022,11:26,0.0,11:26,11:56,11:56,0.0,0.0
V028,3,D05,13:00,0.0,13:00,13:00,13:00,0.0,0.0
