vehicle_id,start_depot,customer_sequence,end_depot,route_tardiness,route_travel_time,route_distance,route_vehicle_cost,active_objective_value
V001,D01,C036|C023,D01,0.0,560.4649870000001,693.2071330000001,120000.0,560.4649870000001
V002,D01,C044|C020|C021,D03,0.0,430.892854,547.633831,120000.0,430.892854
V003,D01,C043|C030,D01,245.39410299999997,394.562404,455.21248699999995,120000.0,394.562404
V004,D01,C017|C034|C018|C047,D03,0.0,318.81761700000004,381.638193,120000.0,318.81761700000004
V005,D01,C012,D01,0.0,171.732339,172.848278,120000.0,171.732339
V008,D01,C009|C006,D01,0.0,358.615846,391.697943,120000.0,358.615846
V009,D02,C037|C010|C045,D02,24.27416000000005,260.993489,287.580454,120000.0,260.993489
V011,D02,C046|C042,D02,0.0,342.42670499999997,405.233664,120000.0,342.42670499999997
V012,D02,C041|C035,D02,0.0,403.89250699999997,500.632869,120000.0,403.89250699999997
V013,D02,C016|C004,D01,0.0,596.892045,768.579535,120000.0,596.892045
V014,D03,C002,D03,0.0,10.060199,4.429018,120000.0,10.060199
V015,D03,C050|C033,D03,0.0,149.14085599999999,194.063958,120000.0,149.14085599999999
V016,D03,C028|C031,D05,0.0,293.485914,352.726713,120000.0,293.485914
V017,D03,C005|C014,D03,0.0,349.914705,402.99267699999996,120000.0,349.914705
V018,D03,C029|C025,D01,0.0,383.252785,453.078584,120000.0,383.252785
V020,D03,C026|C013,D03,206.57232599999998,322.805877,359.865407,120000.0,322.805877
V021,D04,C039|C019|C032,D04,48.73606999999993,223.54060800000002,249.39503399999998,120000.0,223.54060800000002
V023,D05,C003|C007,D02,0.0,417.323884,492.421954,120000.0,417.323884
V024,D05,C001|C040|C027,D02,0.0,495.96882999999997,548.714019,120000.0,495.96882999999997
V025,D05,C008|C048,D05,0.0,171.779376,196.301378,120000.0,171.779376
V026,D05,C011|C049|C015,D05,0.0,386.497113,478.19212600000003,120000.0,386.497113
V027,D05,C024,D05,0.0,64.967818,55.065748,120000.0,64.967818
V028,D05,C038|C022,D05,0.0,133.414935,150.466954,120000.0,133.414935
