vehicle_id,sequence_no,node_id,arrival_time,waiting_time,service_start,service_end,departure_time,tardiness,cumulative_load
V001,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,30.0
V001,1,C001,11:08,0.0,11:08,11:48,11:48,0.0,19.0
V001,2,C010,14:52,0.0,14:52,15:22,15:22,0.0,13.0
V001,3,C045,15:57,0.0,15:57,16:42,16:42,56.827827999999954,0.0
V001,4,D02,17:47,0.0,17:47,17:47,17:47,0.0,0.0
V002,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,18.0
V002,1,C002,11:10,0.0,11:10,12:05,12:05,0.0,0.0
V002,2,D01,17:16,0.0,17:16,17:16,17:16,0.0,0.0
V003,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,30.0
V003,1,C011,09:57,0.0,09:57,10:42,10:42,0.0,17.0
V003,2,C008,14:01,0.0,14:01,14:41,14:41,0.0,8.0
V003,3,C003,16:15,0.0,16:15,16:50,16:50,0.0,0.0
V003,4,D05,17:41,0.0,17:41,17:41,17:41,0.0,0.0
V004,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,26.0
V004,1,C016,09:38,0.0,09:38,10:28,10:28,0.0,12.0
V004,2,C023,12:32,27.677764000000025,13:00,13:45,13:45,0.0,0.0
V004,3,D01,17:21,0.0,17:21,17:21,17:21,0.0,0.0
V005,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,29.0
V005,1,C034,07:39,20.861828000000003,08:00,08:30,08:30,0.0,25.0
V005,2,C025,10:42,0.0,10:42,11:22,11:22,0.0,16.0
V005,3,C043,12:39,20.967426000000046,13:00,13:50,13:50,0.0,0.0
V005,4,D01,16:50,0.0,16:50,16:50,16:50,0.0,0.0
V006,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,30.0
V006,1,C036,10:10,0.0,10:10,11:05,11:05,0.0,12.0
V006,2,C006,14:51,0.0,14:51,15:36,15:36,0.0,0.0
V006,3,D01,16:09,0.0,16:09,16:09,16:09,0.0,0.0
V007,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,30.0
V007,1,C046,08:07,53.32502699999998,09:00,10:00,10:00,0.0,10.0
V007,2,C005,12:19,0.0,12:19,12:49,12:49,0.0,5.0
V007,3,C039,14:46,0.0,14:46,15:16,15:16,0.0,0.0
V007,4,D03,17:14,0.0,17:14,17:14,17:14,0.0,0.0
V008,0,D01,06:00,0.0,06:00,06:00,06:00,0.0,26.0
V008,1,C004,10:43,0.0,10:43,11:33,11:33,0.0,11.0
V008,2,C018,14:51,0.0,14:51,15:31,15:31,0.0,0.0
V008,3,D01,17:42,0.0,17:42,17:42,17:42,0.0,0.0
V009,0,D02,06:00,0.0,06:00,06:00,06:00,0.0,30.0
V009,1,C031,09:50,0.0,09:50,10:45,10:45,0.0,13.0
V009,2,C028,11:29,0.0,11:29,12:14,12:14,0.0,0.0
V009,3,D01,16:49,0.0,16:49,16:49,16:49,0.0,0.0
V010,0,D02,06:00,0.0,06:00,06:00,06:00,0.0,24.0
V010,1,C015,09:34,0.0,09:34,10:09,10:09,0.0,17.0
V010,2,C014,15:06,0.0,15:06,16:01,16:01,5.675796999999989,0.0
V010,3,D03,17:41,0.0,17:41,17:41,17:41,0.0,0.0
V011,0,D02,06:00,0.0,06:00,06:00,06:00,0.0,30.0
V011,1,C009,09:21,0.0,09:21,10:11,10:11,0.0,14.0
V011,2,C033,13:56,0.0,13:56,14:46,14:46,115.65797300000008,0.0
V011,3,D03,15:22,0.0,15:22,15:22,15:22,0.0,0.0
V012,0,D02,06:00,0.0,06:00,06:00,06:00,0.0,30.0
V012,1,C047,10:07,0.0,10:07,10:47,10:47,0.0,20.0
V012,2,C021,12:51,9.051171000000068,13:00,13:50,13:50,0.0,5.0
V012,3,C022,15:52,0.0,15:52,16:22,16:22,52.25969299999997,0.0
V012,4,D05,17:34,0.0,17:34,17:34,17:34,0.0,0.0
V013,0,D02,06:00,0.0,06:00,06:00,06:00,0.0,29.0
V013,1,C049,08:36,0.0,08:36,09:11,09:11,0.0,22.0
V013,2,C040,10:00,0.0,10:00,10:45,10:45,0.0,10.0
V013,3,C030,14:46,0.0,14:46,15:26,15:26,165.78328,0.0
V013,4,D01,16:30,0.0,16:30,16:30,16:30,0.0,0.0
V014,0,D03,06:00,0.0,06:00,06:00,06:00,0.0,24.0
V014,1,C017,10:11,0.0,10:11,10:41,10:41,0.0,20.0
V014,2,C012,12:00,0.0,12:00,13:00,13:00,0.0,0.0
V014,3,D01,14:24,0.0,14:24,14:24,14:24,0.0,0.0
V015,0,D03,06:00,0.0,06:00,06:00,06:00,0.0,25.0
V015,1,C007,10:56,123.68230599999993,13:00,14:00,14:00,0.0,6.0
V015,2,C027,16:00,0.0,16:00,16:30,16:30,0.0,0.0
V015,3,D02,17:26,0.0,17:26,17:26,17:26,0.0,0.0
V016,0,D03,06:00,0.0,06:00,06:00,06:00,0.0,29.0
V016,1,C050,07:13,166.84587199999999,10:00,10:50,10:50,0.0,15.0
V016,2,C038,13:45,0.0,13:45,14:35,14:35,0.0,0.0
V016,3,D04,17:51,0.0,17:51,17:51,17:51,0.0,0.0
