vehicle_id,start_depot,customer_sequence,end_depot,route_tardiness,route_travel_time,route_distance,route_vehicle_cost,active_objective_value
V001,D01,C001|C010|C045,D02,56.827827999999954,591.848372,746.453873,120000.0,120000.0
V002,D01,C002,D01,0.0,620.618756,740.34909,120000.0,120000.0
V003,D01,C011|C008|C003,D05,0.0,580.794732,685.569719,120000.0,120000.0
V004,D01,C016|C023,D01,0.0,558.79502,684.8598569999999,120000.0,120000.0
V005,D01,C034|C025|C043,D01,0.0,488.21121500000004,539.575409,120000.0,120000.0
V006,D01,C036|C006,D01,0.0,509.339475,646.1417050000001,120000.0,120000.0
V007,D01,C046|C005|C039,D03,0.0,500.68419500000005,622.510854,120000.0,120000.0
V008,D01,C004|C018,D01,0.0,611.9924679999999,762.657624,120000.0,120000.0
V009,D02,C031|C028,D01,0.0,549.116237,683.738042,120000.0,120000.0
V010,D02,C015|C014,D03,5.675796999999989,611.48281,716.646661,120000.0,120000.0
V011,D02,C009|C033,D03,115.65797300000008,462.39239599999996,548.025362,120000.0,120000.0
V012,D02,C047|C021|C022,D05,52.25969299999997,564.880825,697.285394,120000.0,120000.0
V013,D02,C049|C040|C030,D01,165.78328,510.358565,617.819714,120000.0,120000.0
V014,D03,C017|C012,D01,0.0,413.917375,509.02488099999994,120000.0,120000.0
V015,D03,C007|C027,D02,0.0,471.84844,597.234372,120000.0,120000.0
V016,D03,C050|C038,D04,0.0,443.967402,585.971998,120000.0,120000.0
V017,D03,C029|C037,D01,0.0,447.159743,538.087135,120000.0,120000.0
V018,D03,C013|C024,D03,0.0,515.7260630000001,627.737658,120000.0,120000.0
V019,D03,C048|C042,D01,0.0,590.109121,704.1524979999999,120000.0,120000.0
V020,D03,C032|C019,D01,0.0,533.496928,540.997037,120000.0,120000.0
V025,D05,C044|C020|C026,D03,0.0,582.223033,740.918457,120000.0,120000.0
V027,D05,C041|C035,D01,0.0,448.447584,578.506792,120000.0,120000.0
